,imdbId,title,releaseYear,releaseDate,genre_x,writers,actors,directors,sequel,hitFlop,movie_name,release_date,runtime,genre_y,hitfactor,screens,footfall,budget,first_day,first_weekend,first_week,worldwide_first_weekend,worldwide_first_week,india_gross,worldwide_gross
10,tt0265148,Main Prem Ki Diwani Hoon,2003,27 Jun 2003,Musical | Drama | Romance,Sooraj R. Barjatya,Hrithik Roshan | Kareena Kapoor | Abhishek Bachchan | Johnny Lever,Sooraj R. Barjatya,0.0,2,Main Prem Ki Diwani Hoon, 27 Jun 2003 , 175 min  ,Love Story,Flop,300,"78,13,000","24,00,00,000","1,24,00,000","3,81,00,000","6,77,00,000","11,03,11,000","17,49,87,000","27,75,00,000","39,31,25,000"
11,tt0265452,Officer,2001,14 Mar 2001,Action | Crime | Drama,Naeem Sha (dialogue) | Naeem Sha (screenplay) | Naeem Sha (story),Sunil Shetty | Raveena Tandon | Danny Denzongpa | Sadashiv Amrapurkar,Naeem Sha,0.0,2,Officer, 2 Mar 2001 , 139 min  ,Thriller,Flop,190,"26,41,000","5,75,00,000","43,00,000","1,21,00,000","2,08,00,000","2,08,49,000","3,58,25,000","6,31,00,000","6,40,30,000"
12,tt0267363,Chandni Bar,2001,28 Sep 2001,Crime | Drama,Mohan Azaad (dialogue) | Mohan Azaad (screenplay) | Madhur Bhandarkar | Masud Mirza (dialogue),Tabu | Atul Kulkarni | Rajpal Yadav | Shri Vallabh Vyas,Madhur Bhandarkar,0.0,5,Chandni Bar, 28 Sep 2001 , 150 min  ,Drama,Semi Hit,60,"22,07,000","1,50,00,000","16,00,000","63,00,000","1,14,00,000","1,02,69,000","1,85,82,000","6,68,00,000","6,68,00,000"
13,tt0271604,Kuch Khatti Kuch Meethi,2001,19 Jan 2001,Drama | Family,,Kajol | Rishi Kapoor | Rati Agnihotri | Sunil Shetty,Rahul Rawail,0.0,2,Kuch Khatti Kuch Meethi, 19 Jan 2001 , 139 min  ,Comedy,Flop,150,"32,27,000","6,00,00,000","35,00,000","1,10,00,000","2,04,50,000","2,56,87,500","4,48,18,500","8,46,00,000","10,55,25,000"
14,tt0272543,Censor,2001,14 Feb 2001,Musical | Romance,Dev Anand,Dev Anand | Hema Malini | Shammi Kapoor | Rekha,Dev Anand,0.0,1,Censor, 6 Apr 2001 , 169 min  ,Drama,Disaster,40,"2,70,000","1,75,00,000","8,50,000","21,00,000","31,00,000","38,03,750","55,97,250","67,00,000","71,20,750"
15,tt0272607,Farz,2001,12 Jan 2001,Action,,Sunny Deol | Preity Zinta | Jackie Shroff | Om Puri,Raj Kanwar,0.0,4,Farz, 12 Jan 2001 , 167 min  ,Action,Below Average,300,"78,87,000","10,00,00,000","1,07,00,000","3,08,00,000","5,43,00,000","5,53,82,500","9,67,27,500","19,16,00,000","19,92,72,500"
16,tt0272735,Mujhe Meri Biwi Se Bachaao,2001,18 Jun 2001,Comedy | Musical | Family,Harry Baweja (story) | Anees Bazmee (screenplay) | Imtiaz Patel (dialogue),Rekha | Naseeruddin Shah | Arshad Warsi | Suman Ranganathan,Harry Baweja,0.0,1,Mujhe Meri Biwi Se Bachaao, 29 Jun 2001 , 126 min  ,Comedy,Disaster,45,"2,61,000","4,00,00,000","7,00,000","17,50,000","26,00,000","34,45,000","51,72,000","63,00,000","73,34,000"
17,tt0272736,Mujhse Dosti Karoge!,2002,09 Aug 2002,Musical | Romance | Drama,Aditya Chopra | Kunal Kohli,Rani Mukerji | Hrithik Roshan | Kareena Kapoor | Uday Chopra,Kunal Kohli,0.0,2,Mujhse Dosti Karoge!, 9 Aug 2002 , 148 min  ,Love Story,Flop,290,"62,81,000","12,00,00,000","1,16,00,000","3,58,00,000","6,28,00,000","9,52,14,000","15,32,89,000","21,10,00,000","33,61,30,000"
18,tt0273406,Aashiq,2001,26 Jan 2001,Action | Comedy | Drama,Rajeev Kaul,Bobby Deol | Rahul Dev | Dinesh Hingoo | Vrajesh Hirjee,Indra Kumar,0.0,3,Aashiq, 26 Jan 2001 , 160 min  ,Love Story,Below Average,275,"69,53,000","9,00,00,000","90,00,000","2,39,00,000","4,37,00,000","4,71,33,500","8,33,85,500","17,45,00,000","18,75,20,000"
19,tt0273535,Dil Ne Phir Yaad Kiya,2001,,Drama | Musical | Romance,,Sadashiv Amrapurkar | Vinay Anand | Pooja Batra | Govinda,Rajat Rawail,0.0,1,Dil Ne Phir Yaad Kiya, 7 Sep 2001 , 122 min  ,Love Story,Disaster,95,"5,06,000","3,00,00,000","13,00,000","33,00,000","52,00,000","56,10,000","88,40,000","1,20,00,000","1,22,36,250"
20,tt0274019,Pyaar Diwana Hota Hai,2002,26 Apr 2002,Romance,S.M. Ahale (screenplay) | Shashi (story) | Javed Siddiqui (dialogue),Rani Mukerji | Govinda | Om Puri | Laxmikant Berde,Kirti Kumar,0.0,1,Pyaar Diwana Hota Hai, 26 Apr 2002 , 148 min  ,Love Story,Disaster,90,"6,82,000","4,25,00,000","16,00,000","43,00,000","68,00,000","85,22,000","1,34,55,000","1,79,00,000","2,08,40,000"
21,tt0275381,Grahan,2001,16 Feb 2001,Drama | Romance,,Jackie Shroff | Manisha Koirala | Anupama Verma | Prasad Purandhare,Shashilal K. Nair,0.0,1,Grahan, 16 Feb 2001 , 151 min  ,Drama,Disaster,60,"6,30,000","5,00,00,000","11,00,000","31,00,000","51,00,000","52,08,000","85,68,000","1,43,00,000","1,43,46,500"
22,tt0277981,Rahul,2001,23 Mar 2001,Drama,Farhan (dialogue) | Farhan (screenplay) | Anuradha Tiwari (screenplay),Neha | Rajeshwari Sachdev | Gulshan Grover | Nina Kulkarni,Prakash Jha,0.0,1,Rahul, 6 Apr 2001 , 153 min  ,Drama,Disaster,70,"4,69,000","2,75,00,000","7,75,000","27,00,000","48,00,000","44,55,000","79,20,000","1,62,00,000","1,62,00,000"
23,tt0278291,Ajnabee,2001,21 Sep 2001,Crime | Mystery | Thriller,Robin Bhatt (screenplay) | Sanjeev Duggal (screenplay) | Shyam Goel (dialogue) | Shyam Goel (screenplay) | Neeraj Vora (screenplay) | Neeraj Vora (story),Akshay Kumar | Bobby Deol | Kareena Kapoor | Bipasha Basu,Abbas Alibhai Burmawalla | Mastan Alibhai Burmawalla,0.0,4,Ajnabee, 21 Sep 2001 , 167 min  ,Thriller,Average,325,"1,07,21,000","17,00,00,000","1,65,00,000","4,78,00,000","8,07,00,000","9,27,82,000","15,31,83,000","28,83,00,000","31,83,00,000"
24,tt0278522,Jodi No.1,2001,13 Apr 2001,Comedy,Rumi Jaffery (dialogue) | Imtiaz Patel (screenplay) | Yunus Sajawal (screenplay),Sanjay Dutt | Govinda | Twinkle Khanna | Monica Bedi,David Dhawan,0.0,6,Jodi No.1, 13 Apr 2001 , 154 min  ,Comedy,Hit,285,"1,21,22,000","11,00,00,000","1,15,00,000","3,41,00,000","6,57,00,000","6,61,70,500","12,27,64,750","31,75,00,000","34,13,42,500"
25,tt0283911,Bas Itna Sa Khwaab Hai...,2001,06 Jul 2001,Romance,Mona Alvi (lyrics) | Goldie Behl (screenplay) | Goldie Behl (story) | Shrishti Behl | Manu Chopra | Tigmanshu Dhulia (dialogue) | Nida Fazli (lyrics) | Dev Kohli (lyrics) | Shyam Raj (lyrics),Rani Mukerji | Abhishek Bachchan | Sushmita Sen | Jackie Shroff,Goldie Behl,0.0,1,Bas Itna Sa Khwaab Hai..., 6 Jul 2001 , 168 min  ,Love Story,Disaster,165,"17,52,000","5,25,00,000","42,00,000","1,14,00,000","1,80,00,000","2,26,77,000","3,58,80,000","4,58,00,000","5,66,10,000"
26,tt0284328,Mujhe Kucch Kehna Hai,2001,25 May 2001,Romance,Rumi Jaffery (story) | A. Karunakaran (story),Tusshar Kapoor | Kareena Kapoor | Amrish Puri | Rinke Khanna,Satish Kaushik,0.0,7,Mujhe Kucch Kehna Hai, 25 May 2001 , 144 min  ,Love Story,Super Hit,225,"1,10,57,000","7,00,00,000","81,00,000","2,46,00,000","5,11,00,000","4,81,54,000","9,62,29,000","29,27,00,000","30,98,55,000"
27,tt0285319,Paagalpan,2001,08 Jun 2001,Romance,Joy Augustine (story),Karan Nath | Aarti Agarwal | Vilas Ujawane | Bharat Dabholkar,Joy Augustine,0.0,1,Paagalpan, 8 Jun 2001 , 147 min  ,Love Story,Disaster,70,"7,61,000","2,25,00,000",None,None,"67,00,000",None,"1,10,55,000","1,70,00,000","1,70,46,750"
28,tt0287537,Love Ke Liye Kuch Bhi Karega,2001,29 Jun 2001,Comedy | Crime | Romance,Rajnish Thakur,Saif Ali Khan | Fardeen Khan | Aftab Shivdasani | Sonali Bendre,Eeshwar Nivas,0.0,2,Love Ke Liye Kuch Bhi Karega, 29 Jun 2001 , 139 min  ,Comedy,Flop,180,"33,32,000","5,75,00,000","57,00,000","1,67,00,000","2,89,50,000","3,28,24,000","5,56,31,500","9,28,00,000","10,33,75,000"
29,tt0288273,Uljhan,2001,04 May 2001,Drama,Sayed Sultan,Puru Rajkumar | Dipti Bhatnagar | Kanchan | Laxmikant Berde,Rajan Johri,0.0,1,Uljhan, 4 May 2001 , 145 min  ,Drama,Disaster,75,"4,67,000","1,75,00,000",None,None,"40,00,000",None,"66,40,000","96,00,000","96,00,000"
30,tt0289845,Aks,2001,13 Jul 2001,Thriller | Mystery,Renzil D'Silva (story) | Rakeysh Omprakash Mehra (screenplay) | Rakeysh Omprakash Mehra (story) | Kamlesh Pandey (dialogue) | Kamlesh Pandey (script),Amitabh Bachchan | Raveena Tandon | Manoj Bajpayee | Nandita Das,Rakeysh Omprakash Mehra,0.0,2,Aks, 13 Jul 2001 , 180 min  ,Thriller,Flop,250,"48,57,000","10,00,00,000","1,00,00,000","2,97,00,000","5,15,00,000","5,97,66,000","9,99,15,000","13,43,00,000","15,42,75,000"
31,tt0292490,Dil Chahta Hai,2001,24 Jul 2001,Comedy | Drama,Farhan Akhtar (story) | Kassim Jagmagia (story),Aamir Khan | Saif Ali Khan | Akshaye Khanna | Preity Zinta,Farhan Akhtar,0.0,4,Dil Chahta Hai, 10 Aug 2001 , 185 min  ,Drama,Average,210,"1,02,52,000","14,00,00,000","90,00,000","2,77,00,000","5,73,00,000","6,24,32,000","11,79,13,000","33,28,00,000","39,71,90,000"
32,tt0292740,Yeh Raaste Hain Pyaar Ke,2001,10 Aug 2001,Romance |Drama,Robin Bhatt | Deepak S. Shivdasani,Ajay Devgn | Madhuri Dixit | Preity Zinta | Vikram Gokhale,Deepak S. Shivdasani,0.0,2,Yeh Raaste Hain Pyaar Ke, 10 Aug 2001 , 161 min  ,Love Story,Flop,275,"49,08,000","8,50,00,000","83,00,000","2,44,00,000","4,25,50,000","5,32,30,000","8,87,85,000","13,20,00,000","15,69,10,000"
33,tt0293342,Lajja,2001,19 Sep 2001,Drama | Musical | Crime,Ranjit Kapoor (dialogue) | Ashok Rawat (associate script) | Rajkumar Santoshi (dialogue) | Rajkumar Santoshi (screenplay) | Rajkumar Santoshi (story),Rekha | Anil Kapoor | Jackie Shroff | Madhuri Dixit,Rajkumar Santoshi,0.0,2,Lajja, 31 Aug 2001 , 182 min  ,Drama,Flop,315,"97,64,000","22,00,00,000","1,34,00,000","3,92,00,000","7,16,00,000","9,73,52,500","16,33,00,000","26,97,00,000","34,29,37,500"
34,tt0294662,Kaante,2002,20 Dec 2002,Action | Crime | Drama,Sanjay Gupta | Vinay | Yash | Milap Zaveri (dialogue),Amitabh Bachchan | Sanjay Dutt | Sunil Shetty | Mahesh Manjrekar,Sanjay Gupta,0.0,3,Kaante, 20 Dec 2002 , 148 min  ,Action,Below Average,450,"1,01,58,000","30,00,00,000","2,04,00,000","5,87,00,000","10,38,00,000","13,01,34,000","21,49,56,000","33,12,00,000","42,96,00,000"
35,tt0295603,Shirdi Sai Baba,2001,07 Sep 2001,Drama | Mystery,Pandurang Dixit | Vikas Kapoor (story),Sudhir Dalvi | Dharmendra | Vikram Gokhale | Rohini Hattangadi,Deepak Balraj Vij,0.0,1,Shirdi Sai Baba, 7 Sep 2001 , 152 min  ,Devotional,Disaster,60,"3,13,000","3,25,00,000","6,25,000","17,00,000","26,00,000","32,58,000","49,69,000","67,00,000","76,40,000"
36,tt0296574,Company,2002,15 Apr 2002,Action | Crime | Thriller,Jaideep Sahni,Ajay Devgn | Mohanlal | Manisha Koirala | Seema Biswas,Ram Gopal Varma,0.0,4,Company, 12 Apr 2002 , 155 min  ,Action,Average,295,"76,29,000","9,50,00,000","1,18,00,000","3,47,00,000","6,01,00,000","6,61,70,500","11,07,51,500","22,66,00,000","25,02,43,750"
37,tt0297983,Ittefaq,2001,14 Sep 2001,Action | Drama | Thriller,Imtiaz Patel (screenplay) | Imtiaz Patel (story) | Yunus Sajawal (screenplay) | Yunus Sajawal (story) | Sameer (lyrics),Sunil Shetty | Mukul Dev | Pooja Batra | Anupama Verma,Sanjay Khanna,0.0,1,Ittefaq, 3 Nov 2017 , 107 min  ,Thriller,Flop,1100,"23,41,000","29,00,00,000","3,69,00,000","14,82,00,000","20,84,00,000","26,68,35,000","36,76,70,000","35,72,00,000","35,72,00,000"
38,tt0297983,Ittefaq,2001,14 Sep 2001,Action | Drama | Thriller,Imtiaz Patel (screenplay) | Imtiaz Patel (story) | Yunus Sajawal (screenplay) | Yunus Sajawal (story) | Sameer (lyrics),Sunil Shetty | Mukul Dev | Pooja Batra | Anupama Verma,Sanjay Khanna,0.0,1,Ittefaq, 14 Sep 2001 , 145 min  ,Action,Disaster,160,"13,62,000","4,00,00,000","36,00,000","93,00,000","1,46,00,000","1,59,03,000","2,49,66,000","3,28,00,000","3,29,41,750"
39,tt0298606,Yeh Teraa Ghar Yeh Meraa Ghar,2001,12 Oct 2001,Comedy | Drama,Priyadarshan (story) | Neeraj Vora (dialogue) | Neeraj Vora (screenplay),Sunil Shetty | Mahima Chaudhry | Paresh Rawal | Saurabh Shukla,Priyadarshan,0.0,2,Yeh Teraa Ghar Yeh Meraa Ghar, 12 Oct 2001 , 160 min  ,Comedy,Flop,165,"24,18,000","6,25,00,000","54,00,000","1,59,00,000","2,59,50,000","2,97,54,000","4,81,17,000","6,41,00,000","7,15,40,000"
40,tt0298607,Yeh Zindagi Ka Safar,2001,16 Nov 2001,Drama,Gajra Kottary,Ameesha Patel | Jimmy Shergill | Nafisa Ali | Gulshan Grover,Tanuja Chandra,0.0,1,Yeh Zindagi Ka Safar, 16 Nov 2001 , 134 min  ,Drama,Disaster,65,"5,24,000","2,75,00,000","16,00,000","40,00,000","61,50,000","78,80,000","1,19,50,500","1,38,00,000","1,62,00,000"
41,tt0300028,Indian,2001,26 Oct 2001,Action | Crime | Drama,Sanjay Masoom (dialogue),Malaika Arora | Raj Babbar | Rana Jung Bahadur | Balwant Bansal,N. Maharajan,0.0,6,Indian, 26 Oct 2001 , 174 min  ,Action,Hit,375,"1,60,42,000","15,00,00,000","1,80,00,000","5,16,00,000","9,08,00,000","9,51,60,000","16,51,60,000","41,07,00,000","42,60,60,000"
42,tt0301179,Deewaanapan,2001,16 Nov 2001,Romance |Drama,Rajesh Singh (dialogue script),Arjun Rampal | Dia Mirza | Vinod Khanna | Om Puri,Ashu Trikha,0.0,2,Deewaanapan, 16 Nov 2001 , 153 min  ,Love Story,Flop,200,"32,21,000","6,00,00,000","48,00,000","1,38,00,000","2,39,00,000","2,46,24,000","4,25,52,000","8,56,00,000","8,89,60,000"
43,tt0301250,Tera Mera Saath Rahen,2001,07 Nov 2001,Drama,Deepak Kulkarni (dialogue) | Mahesh Manjrekar (screenplay) | Sameer (lyrics),Ajay Devgn | Sonali Bendre | Namrata Shirodkar | Prem Chopra,Mahesh Manjrekar,0.0,1,Tera Mera Saath Rahen, 16 Nov 2001 , 149 min  ,Drama,Disaster,175,"19,46,000","5,75,00,000","43,00,000","1,21,00,000","1,95,50,000","2,26,90,000","3,62,29,750","5,08,00,000","5,65,30,000"
44,tt0303187,Veer Savarkar,2001,,Biography | Drama,Ved Rahi,Shailendra Gaur | Pankaj Berry | Tom Alter | Hemant Birje,Ved Rahi,0.0,1,Veer Savarkar, 30 Nov 2001 , 177 min  ,Drama,Disaster,12,"3,89,000","4,00,00,000","1,75,000","7,50,000","16,00,000","7,50,000","16,00,000","81,00,000","81,00,000"
45,tt0305455,Pitaah,2002,04 Jan 2002,Action | Drama,Ravi Shankar Jaiswal (additional dialogue) | Mahesh Manjrekar | K.K. Singh (dialogue) | Teja (screenplay) | Teja (story),Sanjay Dutt | Nandita Das | Sachin Khedekar | Tanvi Hegde,Mahesh Manjrekar,0.0,2,Pitaah, 4 Jan 2002 , 135 min  ,Drama,Flop,275,"30,27,000","7,50,00,000","74,00,000","2,07,00,000","3,18,50,000","3,66,64,000","5,59,30,000","7,90,00,000","8,35,83,750"
46,tt0306434,Aankhen,2002,27 Mar 2002,Comedy | Thriller | Crime,Shobhana Desai (play) | Aatish Kapadia (screenplay) | Aatish Kapadia (story) | Aatish Kapadia | Vipul Amrutlal Shah (screenplay) | Vipul Amrutlal Shah (story),Amitabh Bachchan | Akshay Kumar | Sushmita Sen | Arjun Rampal,Vipul Amrutlal Shah,0.0,4,Aankhen, 5 Apr 2002 , 158 min  ,Thriller,Average,310,"94,93,000","17,00,00,000","1,20,00,000","3,63,00,000","6,67,00,000","8,48,82,000","14,40,00,500","28,64,00,000","33,80,75,000"
47,tt0306840,Koi Mere Dil Se Poochhe,2002,11 Jan 2002,Musical | Romance | Thriller,,Jaya Bhaduri | Aftab Shivdasani | Sanjay Kapoor | Juliet Alburque,Vinay Shukla,0.0,2,Koi Mere Dil Se Poochhe, 11 Jan 2002 , 146 min  ,Drama,Disaster,180,"21,85,000","6,50,00,000","55,00,000","1,50,00,000","2,39,50,000","2,85,18,750","4,45,82,000","6,31,00,000","7,03,37,500"
48,tt0306855,Style,2001,28 Dec 2001,Musical | Comedy,N. Chandra,Sharman Joshi | Sahil Khan | Riya Sen | Shillpi Sharma,N. Chandra,0.0,5,Style, 28 Dec 2001 , 159 min  ,Comedy,Semi Hit,100,"31,73,000","2,50,00,000","29,00,000","97,00,000","1,81,00,000","1,60,05,000","2,98,65,000","8,82,00,000","8,84,40,000"
49,tt0307116,Maa Tujhhe Salaam,2002,25 Jan 2002,Action | Drama,Ravi Shankar Jaiswal (additional dialogue) | Tinnu Verma (story),Sunny Deol | Tabu | Arbaaz Khan | Tinnu Verma,Tinnu Verma,0.0,3,Maa Tujhhe Salaam, 25 Jan 2002 , 162 min  ,Action,Below Average,375,"83,73,000","13,00,00,000","1,71,00,000","4,90,00,000","7,72,00,000","8,49,73,750","13,33,14,750","22,36,00,000","22,84,25,000"
50,tt0307682,Yeh Dil Aashiqanaa,2002,,Action | Romance,,Jividha Sharma | Mohan Azaad | Arun Bakshi | Rajat Bedi,Sandesh Kohli,0.0,4,Yeh Dil Aashiqanaa, 18 Jan 2002 , 148 min  ,Love Story,Average,160,"40,24,000","4,25,00,000","47,00,000","1,47,00,000","2,57,00,000","2,51,78,500","4,38,99,750","10,43,00,000","10,57,47,500"
51,tt0307866,Filhaal...,2002,01 Feb 2002,Drama,Meghna Gulzar,Tabu | Sushmita Sen | Sanjay Suri | Palash Sen,Meghna Gulzar,0.0,1,Filhaal..., 1 Feb 2002 , 155 min  ,Drama,Disaster,70,"7,24,000","4,00,00,000","22,00,000","65,00,000","1,09,00,000","1,58,65,000","2,51,75,500","3,09,00,000","4,08,42,500"
52,tt0308347,Haan Maine Bhi Pyaar Kiya,2002,15 Feb 2002,Musical | Romance,Dharmesh Darshan (dialogue) | Dharmesh Darshan (screenplay) | Naseem Mukri (dialogue) | Raj Sinha (dialogue) | Raj Sinha (screenplay) | Raj Sinha (story),Akshay Kumar | Karisma Kapoor | Abhishek Bachchan | Kader Khan,Dharmesh Darshan,0.0,2,Haan Maine Bhi Pyaar Kiya, 15 Feb 2002 , 175 min  ,Love Story,Flop,275,"54,08,000","11,00,00,000","96,00,000","2,81,00,000","4,55,50,000","6,46,29,500","10,12,88,500","14,95,00,000","19,55,75,000"
53,tt0309087,Yeh Mohabbat Hai,2002,08 Feb 2002,Action | Romance,Usmon Azim (screenplay) | Rafiq Talukdar (screenplay) | Milap Zaveri (dialogue),Akanksha Malhotra | Rahul Bhat | Nasir Khan | Pinky Campbell,Umesh Mehra,0.0,1,Yeh Mohabbat Hai, 8 Feb 2002 , 151 min  ,Love Story,Disaster,100,"8,41,000","4,00,00,000","15,00,000","51,00,000","84,00,000","84,66,000","1,39,44,000","2,07,00,000","2,07,00,000"
54,tt0310254,Tumko Na Bhool Paayenge,2002,24 Feb 2002,Action | Drama | Mystery,Rumi Jaffery,Salman Khan | Sushmita Sen | Dia Mirza | Sharat Saxena,Pankaj Parashar,0.0,2,Tumko Na Bhool Paayenge, 22 Feb 2002 , 167 min  ,Action,Flop,290,"63,54,000","11,00,00,000","1,28,00,000","3,61,00,000","5,99,00,000","7,00,46,250","11,34,60,000","17,41,00,000","19,89,62,500"
55,tt0311411,Kranti,2002,27 Mar 2002,Drama,Sanjay Masoom (dialogue),Vinod Khanna | Bobby Deol | Ameesha Patel | Rati Agnihotri,Naresh Malhotra,0.0,2,Kranti, 8 Mar 2002 , 136 min  ,Action,Flop,270,"39,38,000","9,00,00,000","82,00,000","2,31,00,000","3,77,50,000","4,27,11,000","6,87,27,500","10,28,00,000","11,20,15,000"
56,tt0312883,Kya Yehi Pyaar Hai,2002,10 Apr 2002,Comedy | Musical | Romance,Javed Siddiqui,Jackie Shroff | Aftab Shivdasani | Ameesha Patel | Anupama Verma,K. Muralimohana Rao,0.0,4,Kya Yehi Pyaar Hai, 22 Mar 2002 , 144 min  ,Love Story,Average,190,"46,46,000","5,50,00,000","60,00,000","1,80,00,000","3,12,00,000","3,22,20,000","5,52,04,500","12,59,00,000","13,39,43,750"
57,tt0313395,Kitne Door... Kitne Paas,2002,01 May 2002,Comedy | Romance,Mehul Kumar (screenplay) | Mehul Kumar (story) | Imtiaz Patel (dialogue) | Imtiaz Patel (screenplay) | Yunus Sajawal (dialogue) | Yunus Sajawal (screenplay),Fardeen Khan | Amrita Arora | Satish Shah | Tiku Talsania,Mehul Kumar,0.0,1,Kitne Door... Kitne Paas, 29 Mar 2002 , 127 min  ,Love Story,Disaster,125,"10,22,000","5,00,00,000","29,00,000","83,00,000","1,25,50,000","2,10,95,750","3,09,59,500","2,93,00,000","4,27,06,250"
